# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73173668235
#
#     Self  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.45%  [JIT] tid 313537      [.] JS:* file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:982:19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.44%  node                  [.] v8::String::NewFromUtf8(v8::Isolate*, char const*, v8::NewStringType, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.44%  node                  [.] v8::internal::JSObject::CreateDataProperty(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::PropertyKey, v8::internal::DirectHandle<v8::internal::Object>, v8::Maybe<v8::internal::ShouldThrow>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.42%  node                  [.] v8::internal::StringTable::LookupString(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::String>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.42%  node                  [.] v8::api_internal::GetFunctionTemplateData(v8::Isolate*, v8::Local<v8::Data>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.42%  node                  [.] void v8::internal::String::MakeThin<v8::internal::Isolate>(v8::internal::Isolate*, v8::internal::Tagged<v8::internal::String>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.41%  [JIT] tid 313537      [.] JS:*'Timeout node:internal/timers:179:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.41%  node-v137.node        [.] ofats::any_detail::handler_traits<void*, void*, std::basic_string_view<char, std::char_traits<char> >, unsigned long>::small_handler<uWS::HttpContext<false>::init()::{lambda(us_socket_t*, char*, int)#1}::operator()(us_socket_t*, char*, int) const::{lambda(void*, std::basic_string_view<char, std::char_traits<char> >, unsigned long)#1}>::call(ofats::any_detail::storage&, void*, std::basic_string_view<char, std::char_traits<char> >, unsigned long)                                                                                                                                                                                                                                                   -      -
     0.41%  [JIT] tid 313537      [.] JS:*'reset file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:188:8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.41%  node                  [.] v8::Isolate::GetCurrentContext()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.41%  [JIT] tid 313537      [.] JS:*'#cancel file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/body-parser.js:354:10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.40%  node                  [.] v8::Object::Clone()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.40%  libc.so.6             [.] clock_gettime@@GLIBC_2.17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.40%  node                  [.] void v8::internal::HeapObject::set_map<v8::internal::Isolate>(v8::internal::Isolate*, v8::internal::Tagged<v8::internal::Map>, v8::ReleaseStoreTag) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.40%  node-v137.node        [.] (anonymous namespace)::GetInternalPointer(v8::Local<v8::Object> const&, int) [clone .constprop.1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.39%  node-v137.node        [.] (anonymous namespace)::ResponseWriteStatus(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.39%  node-v137.node        [.] (anonymous namespace)::ResponseEnd(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.39%  node                  [.] void v8::internal::Utf8DecoderBase<v8::internal::Utf8Decoder>::Decode<unsigned char>(unsigned char*, v8::base::Vector<unsigned char const>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.38%  node                  [.] v8::internal::HeapObject::SizeFromMap(v8::internal::Tagged<v8::internal::Map>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.38%  node                  [.] Builtins_JSRunMicrotasksEntry                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.38%  node-v137.node        [.] us_socket_timeout                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.38%  node-v137.node        [.] us_socket_context_loop                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.37%  node                  [.] v8::internal::String::SlowAsIntegerIndex(unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.37%  node                  [.] node::Environment::GetNowUint64()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.37%  [JIT] tid 313537      [.] JS:*'insert node:internal/timers:387:16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.37%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::NewFixedArrayWithMap(v8::internal::DirectHandle<v8::internal::Map>, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.36%  node                  [.] v8::internal::HandleScope::DeleteExtensions(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.36%  node-v137.node        [.] (anonymous namespace)::CallJs(v8::Isolate*, v8::Local<v8::Function>, int, v8::Local<v8::Value>*) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.35%  node                  [.] Builtins_WeakMapLookupHashIndex                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.34%  node-v137.node        [.] ofats::any_detail::any_invocable_impl<void, false, uWS::WebSocket<false, true, (anonymous namespace)::PerSocketData>*>::operator=(ofats::any_detail::any_invocable_impl<void, false, uWS::WebSocket<false, true, (anonymous namespace)::PerSocketData>*>&&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.33%  node                  [.] Builtins_PromiseFulfillReactionJob                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.33%  node                  [.] node::InternalCallbackScope::InternalCallbackScope(node::Environment*, std::variant<v8::Local<v8::Object>, v8::Local<v8::Object>*>, node::async_context const&, int, v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.33%  node-v137.node        [.] (anonymous namespace)::NewString(v8::Isolate*, std::basic_string_view<char, std::char_traits<char> >) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.33%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.33%  node                  [.] v8::internal::Factory::NewStringFromUtf8(v8::base::Vector<char const>, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.32%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::NewStringFromOneByte(v8::base::Vector<unsigned char const>, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.32%  node                  [.] v8::internal::Factory::NewJSArrayWithUnverifiedElements(v8::internal::DirectHandle<v8::internal::FixedArrayBase>, v8::internal::ElementsKind, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.32%  node                  [.] v8::internal::Factory::NewJSObject(v8::internal::DirectHandle<v8::internal::JSFunction>, v8::internal::AllocationType, v8::internal::NewJSObjectType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.31%  node                  [.] Builtins_CallFunction_ReceiverIsNullOrUndefined                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.31%  node                  [.] v8::Array::Length() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.31%  node                  [.] v8::internal::JSFunction::EnsureHasInitialMap(v8::internal::DirectHandle<v8::internal::JSFunction>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.31%  node                  [.] halfsiphash(unsigned int, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.31%  node                  [.] node::CallbackScope::CallbackScope(v8::Isolate*, v8::Local<v8::Object>, node::async_context)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.30%  libc.so.6             [.] _int_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.30%  [JIT] tid 313537      [.] JS:*'#flushPendingHeaders file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:820:23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.30%  node                  [.] v8::internal::SaveContext::~SaveContext()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.30%  node                  [.] node::AsyncHooks::pop_async_context(double)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.30%  node-v137.node        [.] uWS::HttpResponse<false>::writeHeader(std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.30%  node                  [.] void v8::internal::CopyChars<unsigned char, unsigned char>(unsigned char*, unsigned char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.30%  node-v137.node        [.] ofats::any_detail::handler_traits<void>::large_handler<(anonymous namespace)::ResponseCork(v8::FunctionCallbackInfo<v8::Value> const&)::{lambda()#1}>::call(ofats::any_detail::storage&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.29%  node                  [.] v8::internal::MicrotaskQueue::OnCompleted(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.29%  node                  [.] Builtins_ResolvePromise                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.29%  node                  [.] Builtins_CallFunction_ReceiverIsAny                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.29%  node-v137.node        [.] (anonymous namespace)::GetResponse(v8::FunctionCallbackInfo<v8::Value> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.29%  node                  [.] Builtins_EnqueueMicrotask                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.28%  node                  [.] v8::internal::WriteBarrier::CombinedGenerationalAndSharedBarrierSlow(v8::internal::Tagged<v8::internal::HeapObject>, unsigned long, v8::internal::Tagged<v8::internal::HeapObject>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.28%  node-v137.node        [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.27%  libstdc++.so.6.0.33   [.] operator new(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.27%  node                  [.] bool v8::internal::JsonStringifier::TrySerializeSimplePropertyKey<unsigned char>(v8::internal::Tagged<v8::internal::String>, v8::internal::PerThreadAssertScopeEmpty<false, (v8::internal::PerThreadAssertType)1, (v8::internal::PerThreadAssertType)2> const&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.27%  node                  [.] v8::HandleScope::HandleScope(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.27%  node                  [.] v8::internal::Factory::InitializeJSObjectFromMap(v8::internal::Tagged<v8::internal::JSObject>, v8::internal::Tagged<v8::internal::Object>, v8::internal::Tagged<v8::internal::Map>, v8::internal::NewJSObjectType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
