# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73173668235
#
#     Self  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.94%  [JIT] tid 313537      [.] JS:*'clear file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:235:8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.92%  node                  [.] Builtins_CallApiCallbackOptimizedNoProfiling                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.92%  node                  [.] v8::internal::String::Utf8Length(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::String>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.89%  node                  [.] v8::Function::Call(v8::Isolate*, v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.84%  node                  [.] v8::TryCatch::TryCatch(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.83%  node                  [.] v8::internal::GlobalHandles::Destroy(unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.81%  node                  [.] v8::internal::String::SlowEquals(v8::internal::Tagged<v8::internal::String>, v8::internal::SharedStringAccessGuardIfNeeded const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.81%  node-v137.node        [.] (anonymous namespace)::NativeBytes::NativeBytes(v8::Isolate*, v8::Local<v8::Value>, bool) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.80%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::NewRawOneByteString(int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.79%  node-v137.node        [.] uWS::HttpParser::getHeaders(char*, char*, uWS::HttpRequest::Header*, void*, unsigned int&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.79%  node                  [.] node::InternalCallbackScope::Close()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.78%  libc.so.6             [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.76%  node                  [.] v8::internal::TransitionsAccessor::SearchTransition(v8::internal::Tagged<v8::internal::Name>, v8::internal::PropertyKind, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.75%  node                  [.] bool v8::internal::JsonStringifier::SerializeString<false>(v8::internal::Handle<v8::internal::String>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.75%  node-v137.node        [.] (anonymous namespace)::ResponseWriteHeader(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.75%  node                  [.] Builtins_GetProperty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.70%  [JIT] tid 313537      [.] JS:*'#reply file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:960:9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.69%  node                  [.] v8::internal::(anonymous namespace)::UpdateDescriptorForValue(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::Map>, v8::internal::InternalIndex, v8::internal::PropertyConstness, v8::internal::DirectHandle<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.64%  node                  [.] Builtins_KeyedLoadIC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
