# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73640612235
#
#     Self  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.16%  libc.so.6             [.] __memset_avx2_unaligned_erms_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.16%  libc.so.6             [.] clock_gettime@@GLIBC_2.17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.16%  node                  [.] v8::internal::Builtin_ObjectFreeze(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.16%  node                  [.] v8::internal::MicrotaskQueue::OnCompleted(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.15%  [JIT] tid 240351      [.] JS:*'#cancel file:///root/binding-perf-v411/node_modules/@swarmmachina/swm-core/src/body-parser.js:354:10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.15%  node-v137.node        [.] 0x0000000000098fdb                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.14%  node                  [.] bool v8::internal::JsonStringifier::TrySerializeSimplePropertyKey<unsigned char>(v8::internal::Tagged<v8::internal::String>, v8::internal::PerThreadAssertScopeEmpty<false, (v8::internal::PerThreadAssertType)1, (v8::internal::PerThreadAssertType)2> const&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.14%  node                  [.] uv_ref                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.14%  node                  [.] v8::Value::NumberValue(v8::Local<v8::Context>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.14%  node                  [.] v8::internal::Dictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::SetEntry(v8::internal::InternalIndex, v8::internal::Tagged<v8::internal::Object>, v8::internal::Tagged<v8::internal::Object>, v8::internal::PropertyDetails)                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.13%  node                  [.] void v8::internal::LookupIterator::Start<false>()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.13%  node-v137.node        [.] 0x0000000000098f40                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.13%  node                  [.] v8::internal::String::ComputeAndSetRawHash()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.12%  node                  [.] uv__io_poll                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.12%  node                  [.] v8::internal::OrderedHashTable<v8::internal::OrderedHashMap, 2>::Clear(v8::internal::Isolate*, v8::internal::Handle<v8::internal::OrderedHashMap>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  node                  [.] v8::internal::String::SlowEquals(v8::internal::Tagged<v8::internal::String>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  node-v137.node        [.] 0x000000000009930d                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  node                  [.] v8::internal::MayHaveInterestingProperties(v8::internal::Isolate*, v8::internal::Tagged<v8::internal::JSReceiver>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  node                  [.] v8::internal::LocalHeap::AddGCEpilogueCallback(void (*)(void*), void*, v8::internal::GCCallbacksInSafepoint::GCType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.12%  node-v137.node        [.] 0x000000000009904a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  libstdc++.so.6.0.33   [.] operator delete(void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.12%  libm.so.6             [.] __floor_sse41                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.11%  node                  [.] v8::HandleScope::CreateHandle(v8::internal::Isolate*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.11%  node                  [.] v8::internal::Factory::NewJSArrayWithUnverifiedElements(v8::internal::DirectHandle<v8::internal::FixedArrayBase>, v8::internal::ElementsKind, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.11%  node                  [.] v8::internal::TransitionArray::SearchDetailsAndGetTarget(int, v8::internal::PropertyKind, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.11%  node                  [.] v8::internal::HeapObjectLayout::SizeFromMap(v8::internal::Tagged<v8::internal::Map>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.11%  node                  [.] v8::internal::RootScavengeVisitor::VisitRootPointer(v8::internal::Root, char const*, v8::internal::FullObjectSlot)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.11%  node                  [.] v8::internal::Builtin_MapPrototypeClear(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.11%  node                  [.] v8::internal::JSObject::TestIntegrityLevel(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.11%  node                  [.] v8::Array::New(v8::Isolate*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.11%  node                  [.] v8::internal::LocalHeap::RemoveGCEpilogueCallback(void (*)(void*), void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.11%  node                  [.] Builtins_JSEntryTrampoline                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.11%  node                  [.] v8::Function::Call(v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.11%  node                  [.] v8::internal::Heap::NotifyObjectLayoutChangeDone(v8::internal::Tagged<v8::internal::HeapObject>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.10%  node                  [.] std::deque<v8::Local<v8::Object>*, std::allocator<v8::Local<v8::Object>*> >::_M_default_append(unsigned long) [clone .part.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.10%  node-v137.node        [.] 0x00000000000a5635                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.10%  node-v137.node        [.] 0x0000000000098b27                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.10%  node                  [.] v8::internal::JSReceiver::SetIntegrityLevel(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSReceiver>, v8::internal::PropertyAttributes, v8::internal::ShouldThrow)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.10%  node                  [.] v8::internal::JsonStringifier::InitializeReplacer(v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >)                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.10%  node                  [.] Builtins_FastNewObject                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.09%  node                  [.] Builtins_PerformPromiseThen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.09%  node                  [.] v8::internal::Factory::NewJSArray(v8::internal::ElementsKind, int, int, v8::internal::ArrayStorageAllocationMode, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.08%  node                  [.] v8::internal::Factory::NewJSArrayWithUnverifiedElements(v8::internal::DirectHandle<v8::internal::Map>, v8::internal::DirectHandle<v8::internal::FixedArrayBase>, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.08%  [JIT] tid 240351      [.] JS:*' file:///root/binding-perf-v411/node_modules/@swarmmachina/swm-core/src/server/http-runtime.js:247:21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.07%  node                  [.] v8::internal::JSMap::Clear(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSMap>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.07%  node                  [.] v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::DirectHandle<v8::internal::Object>, v8::base::Vector<v8::internal::DirectHandle<v8::internal::Object> const>)                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.07%  node-v137.node        [.] us_internal_dispatch_ready_poll                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.07%  node                  [.] uv_update_time                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.07%  node                  [.] node::async_context_frame::exchange(v8::Isolate*, v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.06%  node                  [.] v8::api_internal::GlobalizeReference(v8::internal::Isolate*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.05%  node                  [.] node::timers::BindingData::FastGetLibuvNow(v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.05%  node                  [.] v8::internal::OrderedHashTable<v8::internal::OrderedHashMap, 2>::Allocate(v8::internal::Isolate*, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.05%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::AllocateRawFixedArray(int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.01%  node                  [.] v8::internal::ScavengerCollector::CollectGarbage()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.01%  node                  [.] v8::internal::Factory::NewFillerObject(int, v8::internal::AllocationAlignment, v8::internal::AllocationType, v8::internal::AllocationOrigin)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.00%  libc.so.6             [.] __libc_start_call_main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.00%  libc.so.6             [.] __libc_start_main@@GLIBC_2.34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.00%  node                  [.] Builtins_CEntry_Return1_ArgvOnStack_NoBuiltinExit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.00%  node                  [.] PushAllRegistersAndIterateStack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.00%  node                  [.] _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.00%  node                  [.] node::NodeMainInstance::Run()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.00%  node                  [.] node::SpinEventLoopInternal(node::Environment*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.00%  node                  [.] node::Start(int, char**)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.00%  node                  [.] uv_run                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
