# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73640612235
#
#     Self  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.84%  node-v137.node        [.] ofats::any_detail::handler_traits<void*, void*, uWS::HttpRequest*>::small_handler<uWS::HttpContext<false>::init()::{lambda(us_socket_t*, char*, int)#1}::operator()(us_socket_t*, char*, int) const::{lambda(void*, uWS::HttpRequest*)#1}>::call(ofats::any_detail::storage&, void*, uWS::HttpRequest*)                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.84%  libc.so.6             [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.82%  node                  [.] v8::internal::MaybeHandle<v8::internal::String> v8::internal::(anonymous namespace)::NewStringFromBytes<v8::internal::Utf8Decoder, v8::internal::Factory::NewStringFromUtf8(v8::base::Vector<unsigned char const>, unibrow::Utf8Variant, v8::internal::AllocationType)::{lambda()#1}>(v8::internal::Isolate*, v8::internal::Factory::NewStringFromUtf8(v8::base::Vector<unsigned char const>, unibrow::Utf8Variant, v8::internal::AllocationType)::{lambda()#1}, v8::internal::AllocationType, v8::internal::MessageTemplate) [clone .constprop.0]                                                                                                                                 -      -
     0.78%  node                  [.] v8::internal::TransitionsAccessor::SearchTransition(v8::internal::Tagged<v8::internal::Name>, v8::internal::PropertyKind, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.76%  node                  [.] v8::internal::String::SlowAsIntegerIndex(unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.74%  node                  [.] v8::internal::JsonStringify(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Object>)                                                                  -      -
     0.74%  node                  [.] v8::internal::GlobalHandles::Create(v8::internal::Tagged<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.73%  node                  [.] bool v8::internal::JsonStringifier::SerializeString<false>(v8::internal::Handle<v8::internal::String>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.72%  node                  [.] v8::String::NewFromUtf8(v8::Isolate*, char const*, v8::NewStringType, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.72%  node                  [.] node::async_context_frame::set(v8::Isolate*, v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.69%  node                  [.] v8::internal::JSObject::CreateDataProperty(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::PropertyKey, v8::internal::DirectHandle<v8::internal::Object>, v8::Maybe<v8::internal::ShouldThrow>)                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.67%  node                  [.] Builtins_GetProperty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.66%  node                  [.] v8::internal::StringTable::LookupString(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::String>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.65%  node                  [.] v8::internal::MicrotaskQueue::RunMicrotasks(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.64%  [JIT] tid 240351      [.] JS:*'cacheRequest file:///root/binding-perf-v411/node_modules/@swarmmachina/swm-core/src/http-context.js:315:15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.63%  node                  [.] v8::internal::JSObject::GetHeaderSize(v8::internal::InstanceType, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.59%  node                  [.] v8::internal::(anonymous namespace)::UpdateDescriptorForValue(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::Map>, v8::internal::InternalIndex, v8::internal::PropertyConstness, v8::internal::DirectHandle<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
