# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 72707943828
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.25%  node                  [.] node::timers::BindingData::FastToggleTimerRef(v8::Local<v8::Object>, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.25%  node                  [.] v8::internal::MicrotaskQueue::OnCompleted(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.24%  node-v137.node        [.] (anonymous namespace)::ResponseOnAborted(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.24%  node-v137.node        [.] us_socket_context_loop                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.24%  node                  [.] v8::internal::Object::StrictEquals(v8::internal::Tagged<v8::internal::Object>, v8::internal::Tagged<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.23%  node-v137.node        [.] (anonymous namespace)::ResponseWriteStatus(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.23%  node                  [.] uv__io_poll                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.23%  node-v137.node        [.] char const* std::__find_if<char const*, __gnu_cxx::__ops::_Iter_pred<(anonymous namespace)::ContainsInvalidHeaderValueCharacter(std::basic_string_view<char, std::char_traits<char> >)::{lambda(unsigned char)#1}> >(char const*, char const*, __gnu_cxx::__ops::_Iter_pred<(anonymous namespace)::ContainsInvalidHeaderValueCharacter(std::basic_string_view<char, std::char_traits<char> >)::{lambda(unsigned char)#1}>, std::random_access_iterator_tag) [clone .isra.0]                                                                                                                                        -      -
     0.23%  node                  [.] v8::internal::Factory::InitializeJSObjectFromMap(v8::internal::Tagged<v8::internal::JSObject>, v8::internal::Tagged<v8::internal::Object>, v8::internal::Tagged<v8::internal::Map>, v8::internal::NewJSObjectType)                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.22%  node                  [.] v8::internal::JsonStringifier::Stringify(v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Object>)             -      -
     0.22%  node                  [.] v8::Context::GetNumberOfEmbedderDataFields()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.22%  node                  [.] v8::internal::TransitionsAccessor::SearchSpecial(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::Map>, v8::internal::Tagged<v8::internal::Symbol>)                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.22%  node                  [.] v8::internal::JSFunction::EnsureHasInitialMap(v8::internal::DirectHandle<v8::internal::JSFunction>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.22%  node-v137.node        [.] (anonymous namespace)::ResponseCork(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.22%  node                  [.] Builtins_JSRunMicrotasksEntry                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.22%  node-v137.node        [.] uWS::HttpResponse<false>::writeHeader(std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.21%  node                  [.] v8::internal::Execution::TryRunMicrotasks(v8::internal::Isolate*, v8::internal::MicrotaskQueue*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.20%  node                  [.] node::AsyncHooks::push_async_context(double, double, v8::Local<v8::Object>*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.20%  node-v137.node        [.] (anonymous namespace)::RequestGetMethod(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.20%  libc.so.6             [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.20%  node                  [.] v8::internal::Factory::NewStringFromUtf8(v8::base::Vector<char const>, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.20%  node                  [.] Builtins_CEntry_Return1_ArgvOnStack_BuiltinExit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.20%  node                  [.] v8::internal::Factory::NewJSArrayWithUnverifiedElements(v8::internal::DirectHandle<v8::internal::Map>, v8::internal::DirectHandle<v8::internal::FixedArrayBase>, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.19%  node                  [.] v8::internal::Handle<v8::internal::FixedArray> v8::internal::Factory::CopyArrayWithMap<v8::internal::FixedArray>(v8::internal::DirectHandle<v8::internal::FixedArray>, v8::internal::DirectHandle<v8::internal::Map>, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                -      -
     0.19%  node-v137.node        [.] (anonymous namespace)::InvalidateAsyncResponse(std::shared_ptr<(anonymous namespace)::AsyncResponseState> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.19%  node                  [.] v8::EscapableHandleScopeBase::EscapableHandleScopeBase(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.19%  node-v137.node        [.] us_socket_context_loop@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.18%  libc.so.6             [.] __memchr_avx2_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.18%  node-v137.node        [.] std::_Sp_counted_ptr_inplace<(anonymous namespace)::AsyncResponseState, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose() [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.18%  node                  [.] v8::Array::Length() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.18%  node                  [.] v8::internal::(anonymous namespace)::IterateObjectCache(v8::internal::Isolate*, std::vector<v8::internal::Tagged<v8::internal::Object>, std::allocator<v8::internal::Tagged<v8::internal::Object> > >*, v8::internal::Root, v8::internal::RootVisitor*)                                                                                                                                                                                                                                                                                                                                                            -      -
     0.18%  node                  [.] v8::internal::GetCurrentStackPosition()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.18%  node                  [.] Builtins_JSEntry                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.18%  node                  [.] v8::internal::Builtin_JsonStringify(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.17%  node                  [.] v8::internal::OrderedHashTable<v8::internal::OrderedHashMap, 2>::Clear(v8::internal::Isolate*, v8::internal::Handle<v8::internal::OrderedHashMap>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.17%  node                  [.] Builtins_FulfillPromise                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.17%  node-v137.node        [.] us_socket_context                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.17%  node                  [.] v8::String::NewFromUtf8(v8::Isolate*, char const*, v8::NewStringType, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.16%  node-v137.node        [.] (anonymous namespace)::NewString(v8::Isolate*, std::basic_string_view<char, std::char_traits<char> >) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.16%  node                  [.] v8::internal::FieldType::NowContains(v8::internal::Tagged<v8::internal::FieldType>, v8::internal::Tagged<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.16%  node-v137.node        [.] ofats::any_detail::handler_traits<void>::handler_base<ofats::any_detail::handler_traits<void>::small_handler<(anonymous namespace)::PromoteResponse(v8::FunctionCallbackInfo<v8::Value> const&)::{lambda()#1}> >::handle(ofats::any_detail::action, ofats::any_detail::storage*, ofats::any_detail::storage*) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                  -      -
     0.16%  node                  [.] node::CallbackScope::CallbackScope(v8::Isolate*, v8::Local<v8::Object>, node::async_context)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.16%  node                  [.] v8::internal::MayHaveInterestingProperties(v8::internal::Isolate*, v8::internal::Tagged<v8::internal::JSReceiver>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.16%  node                  [.] v8::internal::TransitionArray::SearchDetailsAndGetTarget(int, v8::internal::PropertyKind, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.16%  node-v137.node        [.] us_internal_poll_type                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.16%  node                  [.] v8::internal::JSReceiver::SetProperties(v8::internal::Tagged<v8::internal::HeapObject>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.16%  node                  [.] v8::internal::Factory::NewJSArray(v8::internal::ElementsKind, int, int, v8::internal::ArrayStorageAllocationMode, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.16%  node-v137.node        [.] (anonymous namespace)::RequestGetUrl(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.15%  node                  [.] v8::internal::Heap::ClearKeptObjects()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.15%  node-v137.node        [.] uWS::HttpRouter<uWS::HttpContextData<false>::RouterData>::getUrlSegment(int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.15%  node                  [.] v8::internal::Builtin_MapPrototypeClear(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.14%  node                  [.] v8::internal::ComputeSeededIntegerHash(v8::internal::Isolate*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.14%  node                  [.] v8::internal::LocalHeap::AddGCEpilogueCallback(void (*)(void*), void*, v8::internal::GCCallbacksInSafepoint::GCType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.14%  node-v137.node        [.] uWS::AsyncSocket<false>::getLoopData()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.14%  libc.so.6             [.] clock_gettime@@GLIBC_2.17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.14%  node                  [.] Builtins_FastNewObject                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.14%  node                  [.] v8::Value::IsFunction() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.14%  node-v137.node        [.] ofats::any_detail::any_invocable_impl<void, false, uWS::WebSocket<false, true, (anonymous namespace)::PerSocketData>*>::swap(ofats::any_detail::any_invocable_impl<void, false, uWS::WebSocket<false, true, (anonymous namespace)::PerSocketData>*>&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                          -      -
     0.14%  node-v137.node        [.] us_loop_ext@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.13%  node-v137.node        [.] memcpy@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.13%  node                  [.] node::Environment::GetNowUint64()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.13%  node                  [.] v8::internal::Factory::NewJSObject(v8::internal::DirectHandle<v8::internal::JSFunction>, v8::internal::AllocationType, v8::internal::NewJSObjectType)                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.13%  node                  [.] v8::internal::Builtin_ObjectFreeze(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.13%  node-v137.node        [.] us_socket_ext@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.13%  node-v137.node        [.] (anonymous namespace)::InvalidateResponseObject(v8::Local<v8::Object>) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.13%  node-v137.node        [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release_last_use_cold()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.13%  node                  [.] v8::TryCatch::SetVerbose(bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.12%  node                  [.] v8::internal::Factory::InitializeJSObjectBody(v8::internal::Tagged<v8::internal::JSObject>, v8::internal::Tagged<v8::internal::Map>, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.12%  node                  [.] Builtins_CallFunction_ReceiverIsNullOrUndefined                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.12%  node                  [.] v8::internal::RootScavengeVisitor::VisitRootPointer(v8::internal::Root, char const*, v8::internal::FullObjectSlot)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.12%  node                  [.] v8::internal::JSMap::Clear(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSMap>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.12%  node                  [.] v8::internal::Isolate::FireCallCompletedCallbackInternal(v8::internal::MicrotaskQueue*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.12%  node                  [.] v8::HandleScope::CreateHandle(v8::internal::Isolate*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.12%  node                  [.] Builtins_Typeof                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.12%  node-v137.node        [.] (anonymous namespace)::GetInternalPointer(v8::Local<v8::Object> const&, int) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.11%  node-v137.node        [.] us_socket_timeout@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.11%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::AllocateRawFixedArray(int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.11%  node                  [.] bool v8::internal::JsonStringifier::TrySerializeSimplePropertyKey<unsigned char>(v8::internal::Tagged<v8::internal::String>, v8::internal::PerThreadAssertScopeEmpty<false, (v8::internal::PerThreadAssertType)1, (v8::internal::PerThreadAssertType)2> const&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                    -      -
     0.11%  node                  [.] v8::internal::PerThreadAssertScope<true, (v8::internal::PerThreadAssertType)2>::IsAllowed()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.11%  node                  [.] v8::Array::New(v8::Isolate*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.11%  node                  [.] v8::internal::Isolate::SetIdle(bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.11%  node-v137.node        [.] __tls_get_addr@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.11%  node-v137.node        [.] us_socket_context@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.10%  node                  [.] v8::internal::LocalHeap::RemoveGCEpilogueCallback(void (*)(void*), void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.10%  node                  [.] v8::internal::JsonStringifier::InitializeReplacer(v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >)                                                                                                                                                                                                                                                                                                         -      -
     0.10%  node                  [.] v8::api_internal::DisposeGlobal(unsigned long*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.10%  node                  [.] v8::HandleScope::~HandleScope()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.10%  [JIT] tid 313430      [.] JS:*' file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/server/http-runtime.js:247:21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.10%  node                  [.] void v8::internal::Utf8DecoderBase<v8::internal::Utf8Decoder>::Decode<unsigned char>(unsigned char*, v8::base::Vector<unsigned char const>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.10%  node                  [.] Builtins_WeakMapGet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.10%  node                  [.] v8::internal::HandleScope::Extend(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -


#
# (Cannot load tips.txt file, please install perf!)
#
