# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 72707943828
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.98%  [JIT] tid 313430      [.] JS:*'clear file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:235:8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.94%  libc.so.6             [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.91%  node                  [.] v8::Function::Call(v8::Isolate*, v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.82%  node                  [.] v8::internal::Factory::AllocateRaw(int, v8::internal::AllocationType, v8::internal::AllocationAlignment)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.81%  node-v137.node        [.] (anonymous namespace)::ResponseWriteHeader(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.80%  [JIT] tid 313430      [.] JS:*'cacheRequest file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:315:15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.80%  [JIT] tid 313430      [.] JS:*'reset file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/body-parser.js:388:8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.80%  node                  [.] Builtins_CallApiCallbackOptimizedNoProfiling                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.78%  node                  [.] v8::internal::TransitionsAccessor::SearchTransition(v8::internal::Tagged<v8::internal::Name>, v8::internal::PropertyKind, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.77%  node                  [.] v8::internal::GlobalHandles::Create(v8::internal::Tagged<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.77%  node-v137.node        [.] ofats::any_detail::handler_traits<void, uWS::HttpResponse<false>*, uWS::HttpRequest*>::small_handler<(anonymous namespace)::RegisterHttpRoute(v8::FunctionCallbackInfo<v8::Value> const&, (anonymous namespace)::HttpMethod, char const*)::{lambda(uWS::HttpResponse<false>*, uWS::HttpRequest*)#1}>::call(ofats::any_detail::storage&, uWS::HttpResponse<false>*, uWS::HttpRequest*) [clone .lto_priv.0]                                                                                                                                                                                                          -      -
     0.76%  node                  [.] v8::internal::(anonymous namespace)::UpdateDescriptorForValue(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::Map>, v8::internal::InternalIndex, v8::internal::PropertyConstness, v8::internal::DirectHandle<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                               -      -
     0.75%  node                  [.] v8::internal::JsonStringify(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Union<v8::internal::Smi, v8::internal::HeapNumber, v8::internal::BigInt, v8::internal::String, v8::internal::Symbol, v8::internal::Boolean, v8::internal::Null, v8::internal::Undefined, v8::internal::JSReceiver> >, v8::internal::Handle<v8::internal::Object>)  -      -
     0.75%  node-v137.node        [.] (anonymous namespace)::NativeBytes::NativeBytes(v8::Isolate*, v8::Local<v8::Value>, bool) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.72%  node                  [.] v8::internal::JSObject::GetHeaderSize(v8::internal::InstanceType, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.65%  node                  [.] v8::internal::Factory::AllocateRawWithAllocationSite(v8::internal::DirectHandle<v8::internal::Map>, v8::internal::AllocationType, v8::internal::DirectHandle<v8::internal::AllocationSite>)                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.65%  [JIT] tid 313430      [.] JS:*'#reply file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:960:9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.64%  node                  [.] v8::internal::HandleScope::DeleteExtensions(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.63%  node                  [.] v8::Object::Clone()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.62%  node                  [.] v8::Isolate::GetCurrentContext()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.62%  node-v137.node        [.] (anonymous namespace)::PromoteResponse(v8::FunctionCallbackInfo<v8::Value> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.59%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.59%  node                  [.] Builtins_KeyedLoadIC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.58%  node                  [.] v8::Maybe<bool> v8::internal::JSObject::PreventExtensionsWithTransition<(v8::internal::PropertyAttributes)5>(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::ShouldThrow)                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.58%  node                  [.] bool v8::internal::JsonStringifier::SerializeString<false>(v8::internal::Handle<v8::internal::String>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.58%  node                  [.] v8::internal::Utf8DecoderBase<v8::internal::Utf8Decoder>::Utf8DecoderBase(v8::base::Vector<unsigned char const>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.56%  node                  [.] Builtins_CreateObjectWithoutProperties                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.54%  node                  [.] v8::String::WriteUtf8V2(v8::Isolate*, char*, unsigned long, int, unsigned long*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.52%  [JIT] tid 313430      [.] JS:*'reset file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:188:8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.51%  [JIT] tid 313430      [.] JS:*'Timeout node:internal/timers:179:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.48%  node                  [.] v8::internal::MicrotaskQueue::RunMicrotasks(v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.48%  node                  [.] v8::Context::Global()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.48%  node-v137.node        [.] uWS::HttpRouter<uWS::HttpContextData<false>::RouterData>::executeHandlers(uWS::HttpRouter<uWS::HttpContextData<false>::RouterData>::Node*, int, uWS::HttpContextData<false>::RouterData&) [clone .constprop.0] [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.48%  node                  [.] node::CallbackScope::~CallbackScope()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.47%  node                  [.] Builtins_PromiseFulfillReactionJob                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.47%  node                  [.] Builtins_RunMicrotasks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.47%  node                  [.] v8::api_internal::GetFunctionTemplateData(v8::Isolate*, v8::Local<v8::Data>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.45%  node                  [.] v8::internal::WriteBarrier::CombinedGenerationalAndSharedBarrierSlow(v8::internal::Tagged<v8::internal::HeapObject>, unsigned long, v8::internal::Tagged<v8::internal::HeapObject>)                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.45%  node                  [.] v8::HandleScope::HandleScope(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.45%  node                  [.] node::AsyncHooks::pop_async_context(double)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.45%  node                  [.] v8::TryCatch::~TryCatch()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.44%  node-v137.node        [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.44%  node                  [.] halfsiphash(unsigned int, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.43%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::NewFixedArrayWithMap(v8::internal::DirectHandle<v8::internal::Map>, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.43%  node                  [.] v8::TryCatch::TryCatch(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.43%  node                  [.] Builtins_ResolvePromise                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.43%  node                  [.] v8::internal::Factory::CopyPropertyArrayAndGrow(v8::internal::DirectHandle<v8::internal::PropertyArray>, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.42%  node                  [.] uv__hrtime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.41%  node                  [.] Builtins_CallFunction_ReceiverIsAny                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.40%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::NewRawOneByteString(int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.40%  [JIT] tid 313430      [.] JS:*'insert node:internal/timers:387:16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.40%  node-v137.node        [.] (anonymous namespace)::GetInternalPointer(v8::Local<v8::Object> const&, int) [clone .constprop.1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.39%  node                  [.] v8::internal::MicrotaskQueue::PerformCheckpoint(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.38%  node-v137.node        [.] ofats::any_detail::handler_traits<void*, void*, std::basic_string_view<char, std::char_traits<char> >, unsigned long>::small_handler<uWS::HttpContext<false>::init()::{lambda(us_socket_t*, char*, int)#1}::operator()(us_socket_t*, char*, int) const::{lambda(void*, std::basic_string_view<char, std::char_traits<char> >, unsigned long)#1}>::call(ofats::any_detail::storage&, void*, std::basic_string_view<char, std::char_traits<char> >, unsigned long)                                                                                                                                                   -      -
     0.38%  node-v137.node        [.] ofats::any_detail::handler_traits<void>::large_handler<(anonymous namespace)::ResponseCork(v8::FunctionCallbackInfo<v8::Value> const&)::{lambda()#1}>::call(ofats::any_detail::storage&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.38%  node-v137.node        [.] us_socket_is_closed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.37%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::NewStringFromOneByte(v8::base::Vector<unsigned char const>, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.37%  node                  [.] v8::internal::TransitionsAccessor::SearchSpecial(v8::internal::Tagged<v8::internal::Symbol>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.36%  node                  [.] void v8::internal::HeapObject::set_map<v8::internal::Isolate>(v8::internal::Isolate*, v8::internal::Tagged<v8::internal::Map>, v8::ReleaseStoreTag) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.36%  [JIT] tid 313430      [.] JS:*'#flushPendingHeaders file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:820:23                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.36%  node                  [.] v8::internal::TransitionsAccessor::IsMatchingMap(v8::internal::Tagged<v8::internal::Map>, v8::internal::Tagged<v8::internal::Name>, v8::internal::PropertyKind, v8::internal::PropertyAttributes)                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.35%  libc.so.6             [.] _int_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.35%  node                  [.] node::InternalCallbackScope::InternalCallbackScope(node::Environment*, std::variant<v8::Local<v8::Object>, v8::Local<v8::Object>*>, node::async_context const&, int, v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.35%  [JIT] tid 313430      [.] JS:* file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/http-context.js:982:19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.34%  node                  [.] Builtins_EnqueueMicrotask                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.33%  node-v137.node        [.] (anonymous namespace)::ResponseEnd(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.33%  node                  [.] v8::internal::FieldIndex::ForPropertyIndex(v8::internal::Tagged<v8::internal::Map>, int, v8::internal::Representation)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.33%  node-v137.node        [.] ofats::any_detail::handler_traits<bool, uWS::HttpRouter<uWS::HttpContextData<false>::RouterData>*>::large_handler<uWS::HttpContext<false>::onHttp(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, ofats::any_invocable<void (uWS::HttpResponse<false>*, uWS::HttpRequest*)>&&, bool)::{lambda(auto:1*)#1}>::call(ofats::any_detail::storage&, uWS::HttpRouter<uWS::HttpContextData<false>::RouterData>*)                                                                                         -      -
     0.33%  node                  [.] void v8::internal::Heap::CopyRange<v8::internal::FullObjectSlot>(v8::internal::Tagged<v8::internal::HeapObject>, v8::internal::FullObjectSlot, v8::internal::FullObjectSlot, int, v8::internal::WriteBarrierMode)                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.33%  node                  [.] Builtins_JSEntryTrampoline                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.33%  node                  [.] Builtins_JSConstructStubGeneric                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.32%  node-v137.node        [.] us_socket_ext                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.32%  node                  [.] v8::internal::Factory::NewJSArrayWithUnverifiedElements(v8::internal::DirectHandle<v8::internal::FixedArrayBase>, v8::internal::ElementsKind, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.32%  libc.so.6             [.] __strncmp_avx2_rtm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.32%  node                  [.] v8::internal::JSObject::CreateDataProperty(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSObject>, v8::internal::PropertyKey, v8::internal::DirectHandle<v8::internal::Object>, v8::Maybe<v8::internal::ShouldThrow>)                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.31%  node                  [.] v8::Value::NumberValue(v8::Local<v8::Context>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.31%  node                  [.] Builtins_KeyedLoadIC_Megamorphic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.30%  node                  [.] Builtins_StringEqual                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.30%  node                  [.] Builtins_KeyedLoadICTrampoline_Megamorphic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
